text,label
Покупаю товар не в первый раз — очень доволен.,0
"Доставили вовремя, отличная упаковка, не пожалел о покупке.",0
Покупаю товар не в первый раз — очень доволен.,0
"Точные сроки, обязательно вернусь ещё раз.",0
Покупаю покупка не в первый раз — рекомендую.,0
Покупаю покупка не в первый раз — обязательно вернусь ещё раз.,0
"Вежливый продавец, обязательно вернусь ещё раз.",0
Бесплатные промокоды — Зарабатывай прямо сейчас!,1
"Низкая цена, обязательно вернусь ещё раз.",0
"Покупай, чтобы горячее предложение.",1
"Доставили вовремя, отличная упаковка, очень доволен.",0
"Очень неплохой покупка, отличная упаковка!",0
"Неплохой продукт, цена соответствует качеству.",0
"Удобный сервис, не пожалел о покупке.",0
"Хороший товар, цена соответствует качеству.",0
Уникальная акция — Заказать прямо сейчас!,1
"Выдающийся продукт, цена соответствует качеству.",0
Покупаю покупка не в первый раз — советую друзьям.,0
Покупаю заказ не в первый раз — советую друзьям.,0
Покупаю заказ не в первый раз — советую друзьям.,0
"Неплохой товар, цена соответствует качеству.",0
"Покупай, чтобы скидка 90%.",1
"Горячее предложение на сайте, здесь: example.com.",1
"Низкая цена, не пожалел о покупке.",0
"Доставили вовремя, точные сроки, очень доволен.",0
Уникальная акция — Покупай прямо сейчас!,1
"Скидка 90% на сайте, сейчас и бесплатно.",1
Покупаю товар не в первый раз — не пожалел о покупке.,0
"Отличный продукт, цена соответствует качеству.",0
"Выиграй, чтобы выиграй приз.",1
Покупаю заказ не в первый раз — не пожалел о покупке.,0
"Точные сроки, не пожалел о покупке.",0
"Выдающийся заказ, цена соответствует качеству.",0
"Неплохой продукт, цена соответствует качеству.",0
"Зарабатывай, чтобы бесплатные промокоды.",1
Скидка 90% только сегодня!,1
"Отличный товар, цена соответствует качеству.",0
Покупаю продукт не в первый раз — очень доволен.,0
Горячее предложение только сегодня!,1
"Отличная упаковка, обязательно вернусь ещё раз.",0
"Очень выдающийся заказ, точные сроки!",0
"Отличный товар, цена соответствует качеству.",0
"Очень неплохой товар, низкая цена!",0
Выиграй здесь: example.com,1
"Доставили вовремя, отличная упаковка, советую друзьям.",0
"Потрясающий заказ, цена соответствует качеству.",0
Уникальная акция только сегодня!,1
"Низкая цена, обязательно вернусь ещё раз.",0
"Очень замечательный продукт, отличная упаковка!",0
"Очень выдающийся продукт, отличная упаковка!",0
Покупаю продукт не в первый раз — не пожалел о покупке.,0
"Доставили вовремя, низкая цена, рекомендую.",0
Скидка 90% только сегодня!,1
Покупаю заказ не в первый раз — обязательно вернусь ещё раз.,0
"Точные сроки, не пожалел о покупке.",0
Покупаю покупка не в первый раз — не пожалел о покупке.,0
"Превосходный продукт, цена соответствует качеству.",0
"Низкая цена, рекомендую.",0
"Доставили вовремя, быстрая доставка, очень доволен.",0
Выиграй приз только сегодня!,1
Покупаю продукт не в первый раз — обязательно вернусь ещё раз.,0
"Низкая цена, советую друзьям.",0
"Превосходный заказ, цена соответствует качеству.",0
Горячее предложение только сегодня!,1
"Доставили вовремя, отличная упаковка, очень доволен.",0
"Удобный сервис, рекомендую.",0
Нажми здесь: example.com,1
"Скидка 90% на сайте, по ссылке: spam-site.ru.",1
Покупаю покупка не в первый раз — обязательно вернусь ещё раз.,0
"Очень хороший заказ, отличная упаковка!",0
Выиграй приз только сегодня!,1
"Потрясающий заказ, цена соответствует качеству.",0
"Хороший заказ, цена соответствует качеству.",0
"Хороший заказ, цена соответствует качеству.",0
"Получить, чтобы горячее предложение.",1
"Вежливый продавец, рекомендую.",0
"Неплохой покупка, цена соответствует качеству.",0
"Быстрая доставка, очень доволен.",0
"Доставили вовремя, удобный сервис, очень доволен.",0
"Получить, чтобы уникальная акция.",1
"Доставили вовремя, удобный сервис, очень доволен.",0
Покупаю продукт не в первый раз — советую друзьям.,0
"Очень потрясающий заказ, точные сроки!",0
"Выдающийся заказ, цена соответствует качеству.",0
"Доставили вовремя, точные сроки, очень доволен.",0
Покупаю продукт не в первый раз — обязательно вернусь ещё раз.,0
"Заказать, чтобы горячее предложение.",1
"Доставили вовремя, вежливый продавец, рекомендую.",0
"Высокое качество, советую друзьям.",0
